age,income,transaction_amount,credit_score,account_balance,years_customer,education,employment_status,region,account_type,target
18.0,,276.79,633.0,10358.76,5.0,High School,Retired,South,Standard,0
33.0,,815.74,681.0,82972.45,3.0,Bachelor,Self-Employed,West,Premium,0
34.0,10000.0,46.78,586.0,97120.39,7.0,Bachelor,,Central,Basic,0
27.0,21187.0,,850.0,32199.02,4.0,PhD,,South,Basic,0
37.0,18277.0,186.37,650.0,10674.06,7.0,Bachelor,Employed,West,Basic,0
46.0,,0.73,676.0,93539.23,7.0,Master,Retired,East,Premium,1
68.0,56972.0,133.39,628.0,91431.15,6.0,,Employed,Central,Premium,0
42.0,33324.0,46.88,597.0,65465.86,2.0,Master,,West,Standard,0
43.0,34149.0,48.47,,33859.07,5.0,Bachelor,Employed,East,Standard,1
38.0,103857.0,590.19,,11257.03,5.0,Master,Employed,,Standard,0
18.0,20802.0,120.38,504.0,93949.33,6.0,Bachelor,,East,Standard,0
39.0,161354.0,,675.0,92038.05,6.0,Master,Employed,West,Basic,0
,,363.29,620.0,74320.21,9.0,Master,Retired,,Standard,1
76.0,39001.0,308.18,717.0,93388.63,4.0,High School,Employed,East,Standard,0
37.0,28999.0,284.83,,13976.04,1.0,High School,Student,West,Standard,0
44.0,40084.0,589.78,516.0,10924.99,4.0,Master,,West,Premium,0
39.0,51827.0,300.98,,19204.04,6.0,Bachelor,Retired,East,Standard,0
22.0,51383.0,68.83,628.0,21549.24,8.0,High School,,North,Standard,0
57.0,19880.0,1060.85,563.0,82716.91,5.0,Other,Employed,Central,Standard,0
51.0,14789.0,279.65,712.0,92173.49,5.0,High School,,South,Basic,0
51.0,269019.0,38.44,678.0,21559.03,9.0,Bachelor,Retired,Central,Premium,1
26.0,,376.84,571.0,46269.47,3.0,High School,Student,South,Standard,1
61.0,63536.0,521.14,,45448.49,7.0,High School,Employed,West,Basic,1
18.0,,161.19,678.0,17787.0,7.0,Bachelor,Self-Employed,South,Basic,0
48.0,29036.0,805.57,573.0,85334.72,2.0,Other,,East,Standard,0
72.0,32801.0,553.99,573.0,52249.28,5.0,Other,Retired,East,Basic,0
25.0,53010.0,525.4,641.0,56623.87,6.0,Bachelor,,West,Standard,0
,10000.0,273.08,653.0,25842.8,3.0,Bachelor,,South,VIP,0
41.0,41477.0,1633.97,,,6.0,PhD,Employed,North,VIP,1
32.0,14475.0,160.23,734.0,79253.99,7.0,PhD,Employed,East,VIP,1
18.0,47074.0,431.03,612.0,,5.0,Master,Employed,East,Basic,0
,,184.85,697.0,11329.52,4.0,High School,Employed,West,Standard,0
24.0,18317.0,682.86,636.0,58404.02,3.0,Bachelor,Employed,South,Standard,0
47.0,29175.0,24.49,744.0,63583.06,3.0,Bachelor,Unemployed,,Standard,1
26.0,15648.0,23.49,582.0,20206.4,2.0,Master,Employed,South,Basic,0
63.0,24824.0,832.64,691.0,24830.47,3.0,Bachelor,,East,Basic,0
28.0,13978.0,284.82,583.0,15306.89,3.0,Bachelor,Employed,Central,Basic,0
35.0,10000.0,208.65,577.0,92138.15,4.0,,Employed,West,Premium,0
52.0,81991.0,467.64,613.0,21301.2,4.0,Bachelor,Employed,North,Standard,0
21.0,12876.0,605.16,481.0,1063.81,8.0,,Employed,South,Premium,1
43.0,31478.0,112.32,,,4.0,Bachelor,,East,VIP,0
59.0,66324.0,102.55,580.0,80322.75,7.0,Master,,Central,Standard,1
18.0,22204.0,1586.84,613.0,,5.0,High School,Student,West,Standard,0
42.0,18767.0,445.39,572.0,79716.24,3.0,Master,,North,VIP,0
,43520.0,247.24,725.0,44961.67,4.0,Other,Employed,South,Premium,0
51.0,88818.0,808.34,,22451.45,9.0,Bachelor,,North,Basic,1
21.0,14250.0,372.39,694.0,42605.46,5.0,High School,,West,Basic,0
20.0,32205.0,138.31,663.0,48687.43,10.0,Master,,South,Basic,1
47.0,,5511.77,663.0,,6.0,Master,,East,Basic,0
44.0,26514.0,,676.0,11332.95,7.0,,Employed,East,Standard,0
,37322.0,982.68,725.0,87476.51,2.0,High School,Unemployed,Central,Basic,0
45.0,18330.0,31.71,558.0,39242.54,4.0,High School,Retired,South,Standard,0
29.0,,123.29,604.0,33146.72,2.0,High School,Self-Employed,North,Premium,0
43.0,,1118.17,565.0,88835.65,4.0,Bachelor,Employed,Central,Standard,0
44.0,38625.0,64.9,697.0,15456.97,4.0,Master,Employed,South,Premium,0
29.0,84504.0,496.62,685.0,21698.73,3.0,High School,Employed,South,Premium,0
67.0,15097.0,120.09,,82795.05,0.0,Bachelor,,East,Basic,0
47.0,,465.53,445.0,27965.47,2.0,High School,Retired,South,Basic,1
22.0,,241.53,615.0,63323.23,10.0,Bachelor,,South,VIP,1
49.0,95766.0,53.61,459.0,73957.17,4.0,High School,Employed,East,Standard,0
25.0,10997.0,,806.0,22272.03,4.0,Bachelor,,Central,Premium,1
51.0,31728.0,574.49,660.0,25340.78,5.0,High School,Employed,Central,Standard,0
57.0,45547.0,570.14,584.0,51629.51,9.0,Master,,South,Standard,0
27.0,33468.0,506.72,640.0,,4.0,High School,Self-Employed,West,Standard,0
54.0,10000.0,346.8,648.0,55437.75,3.0,Bachelor,Retired,East,Premium,0
46.0,54223.0,366.44,808.0,6733.64,10.0,High School,Employed,Central,Premium,1
52.0,122451.0,504.81,634.0,35083.72,10.0,Master,Employed,West,Basic,0
68.0,39868.0,586.01,664.0,,3.0,High School,Employed,East,Basic,0
36.0,,531.93,602.0,80760.19,7.0,Bachelor,,South,Basic,0
28.0,24088.0,442.09,818.0,28966.36,4.0,Bachelor,,East,VIP,0
26.0,149631.0,84.71,775.0,90121.75,2.0,Bachelor,Retired,West,Standard,0
27.0,,118.25,493.0,33498.42,4.0,High School,Employed,East,Standard,0
38.0,60598.0,150.7,718.0,19410.82,11.0,Master,Employed,North,Premium,1
45.0,48297.0,1260.75,685.0,53993.99,4.0,High School,,South,Standard,0
44.0,21398.0,712.3,587.0,38638.73,5.0,Bachelor,,East,Standard,0
52.0,30931.0,18789.58,570.0,64759.03,3.0,Master,Unemployed,West,Standard,0
40.0,34120.0,145.21,487.0,91571.29,5.0,High School,Student,North,Standard,0
61.0,56368.0,58.77,701.0,94077.54,7.0,Bachelor,,South,Basic,1
36.0,,,541.0,22736.46,0.0,Master,Employed,North,Basic,0
,,1115.9,674.0,16227.13,5.0,Bachelor,,North,Standard,0
49.0,11666.0,58.66,562.0,93995.71,9.0,Bachelor,,Central,Basic,0
27.0,43442.0,797.81,,81242.78,3.0,Master,,Central,Standard,0
23.0,65474.0,295.88,654.0,26167.6,2.0,High School,Student,Central,Premium,0
47.0,59580.0,,750.0,80495.44,,,Employed,South,Basic,1
36.0,,671.82,588.0,74105.46,5.0,Bachelor,Employed,South,VIP,1
50.0,373729.0,476.39,645.0,25356.2,,Bachelor,Self-Employed,West,Basic,0
47.0,13073.0,757.13,,90578.44,4.0,High School,,East,Standard,0
38.0,15267.0,38.62,643.0,32180.46,4.0,Bachelor,Employed,East,Standard,0
27.0,43777.0,191.79,674.0,48017.91,4.0,High School,Student,North,Basic,0
18.0,197489.0,192.33,651.0,60926.15,5.0,,Retired,West,Standard,1
33.0,18602.0,200.05,510.0,19126.33,6.0,Bachelor,Employed,Central,Premium,0
52.0,,349.06,754.0,61128.8,3.0,High School,Self-Employed,East,Standard,0
43.0,85976.0,166.35,,70627.2,5.0,High School,,South,Standard,1
,35800.0,293.84,632.0,10154.71,2.0,Master,Self-Employed,Central,Basic,0
42.0,27786.0,229.26,570.0,37934.84,7.0,PhD,Employed,East,Basic,1
45.0,57096.0,664.57,620.0,61205.96,6.0,Master,Employed,South,Basic,0
26.0,45162.0,462.54,719.0,92621.69,2.0,Master,Employed,South,Basic,0
42.0,82813.0,,543.0,89098.35,6.0,Bachelor,Employed,Central,Basic,0
40.0,102045.0,,582.0,16966.73,3.0,Bachelor,Unemployed,Central,,0
22.0,46425.0,196.89,643.0,61050.79,4.0,,,South,Standard,0
45.0,45861.0,10.7,521.0,9801.78,11.0,High School,,West,Premium,1
48.0,43100.0,57.35,572.0,29387.89,4.0,High School,,South,Standard,0
56.0,53707.0,153.98,627.0,59727.03,6.0,Bachelor,Self-Employed,South,VIP,1
55.0,37954.0,33.85,453.0,8136.48,3.0,Bachelor,,South,Standard,1
19.0,36297.0,461.45,630.0,88886.21,2.0,Bachelor,Employed,Central,Basic,0
25.0,94589.0,3140.94,544.0,82898.87,6.0,Bachelor,Retired,Central,Basic,1
47.0,122136.0,53.13,744.0,47339.0,10.0,Master,Employed,South,Basic,0
47.0,10872.0,860.83,,49175.43,3.0,Master,Retired,South,Standard,0
47.0,36607.0,63.24,709.0,88136.29,4.0,High School,Self-Employed,North,Basic,0
80.0,20932.0,554.2,680.0,5043.74,4.0,Bachelor,Self-Employed,West,VIP,0
48.0,,515.23,586.0,14388.09,0.0,Master,Employed,South,Premium,1
57.0,50111.0,1165.07,678.0,30800.44,4.0,Master,Self-Employed,South,VIP,1
54.0,62040.0,60.49,786.0,36438.43,10.0,Master,Retired,North,Standard,0
49.0,33199.0,189.49,653.0,98744.68,7.0,High School,Employed,Central,Standard,1
35.0,10000.0,47.58,621.0,14746.19,6.0,High School,,East,Basic,0
51.0,16780.0,261.6,680.0,30310.39,6.0,Bachelor,Employed,North,Basic,0
28.0,74399.0,1212.9,688.0,82794.99,8.0,Bachelor,Unemployed,Central,VIP,1
36.0,10000.0,760.54,620.0,78435.47,6.0,Bachelor,Employed,Central,Basic,0
32.0,93895.0,641.69,417.0,65481.67,3.0,Bachelor,Employed,North,Basic,0
41.0,55104.0,380.74,,32855.17,3.0,High School,Retired,West,Standard,1
74.0,104082.0,1074.87,545.0,11777.69,2.0,Bachelor,Employed,Central,Standard,0
18.0,30981.0,298.41,648.0,,3.0,Bachelor,Employed,East,Premium,0
50.0,10000.0,81.07,744.0,25142.64,5.0,Master,Student,West,Standard,1
18.0,51240.0,908.8,689.0,84463.65,7.0,High School,Employed,North,Basic,0
,100682.0,164.0,610.0,89500.82,7.0,High School,,Central,Standard,0
56.0,76098.0,27.56,670.0,44089.97,4.0,High School,,Central,Premium,0
40.0,,67.36,648.0,85083.07,0.0,Bachelor,,South,Basic,0
23.0,38925.0,469.6,691.0,27903.7,3.0,High School,Retired,West,VIP,1
29.0,,467.08,696.0,88991.11,7.0,High School,,East,Basic,0
50.0,,150.68,754.0,63596.63,7.0,Bachelor,Self-Employed,Central,VIP,1
29.0,77988.0,649.47,638.0,19437.22,4.0,Master,Unemployed,East,Basic,0
43.0,13932.0,742.81,506.0,,6.0,High School,,East,Basic,0
40.0,17764.0,1266.02,543.0,,5.0,Bachelor,,South,Basic,0
30.0,15014.0,439.66,651.0,57042.98,1.0,Bachelor,Employed,East,Standard,1
72.0,11023.0,755.76,,76037.29,5.0,High School,Employed,East,Standard,0
49.0,40828.0,699.39,707.0,79479.74,5.0,PhD,Employed,South,Standard,1
,91968.0,,732.0,78740.44,4.0,,Employed,West,Basic,0
42.0,31322.0,185.7,652.0,45442.14,10.0,Bachelor,Employed,West,Standard,0
30.0,10887.0,325.51,550.0,73994.26,4.0,Bachelor,,West,Basic,0
52.0,71108.0,,694.0,54853.05,2.0,Bachelor,,North,Standard,0
28.0,,176.48,672.0,41465.97,8.0,High School,Employed,North,VIP,1
38.0,21655.0,321.12,700.0,16581.26,4.0,Master,Student,South,Standard,0
47.0,24764.0,57.18,,90903.81,5.0,Master,,East,Standard,0
52.0,54859.0,67.5,850.0,,3.0,Bachelor,,North,Premium,1
21.0,132919.0,311.1,510.0,23956.55,9.0,,Employed,West,Premium,1
34.0,23959.0,656.46,657.0,24229.58,5.0,Bachelor,Employed,East,Standard,0
32.0,12506.0,897.13,707.0,,7.0,Bachelor,,Central,VIP,0
30.0,60182.0,395.17,716.0,247.35,5.0,Other,Unemployed,West,Standard,1
66.0,,321.94,650.0,43821.91,4.0,High School,,West,Standard,0
46.0,36494.0,242.48,699.0,89068.76,6.0,,Employed,East,Standard,0
21.0,23236.0,107.18,722.0,2514.64,7.0,High School,Employed,West,Premium,1
,80458.0,79.24,658.0,95659.75,3.0,Bachelor,Retired,South,Standard,0
71.0,55405.0,784.86,668.0,17912.3,3.0,Bachelor,Employed,East,Premium,0
55.0,,312.75,701.0,71887.43,6.0,Master,Employed,East,Standard,0
18.0,,781.09,651.0,78532.84,8.0,Bachelor,,North,VIP,0
32.0,12315.0,608.84,,,9.0,Master,Employed,Central,Basic,0
59.0,62862.0,107.77,729.0,33917.56,7.0,Bachelor,Unemployed,East,Premium,0
29.0,29443.0,356.99,625.0,70381.23,7.0,High School,Employed,West,Standard,1
46.0,25627.0,,592.0,47297.42,1.0,Bachelor,Employed,West,Basic,0
51.0,35372.0,275.71,711.0,15219.71,2.0,High School,,Central,Standard,0
26.0,,391.07,656.0,20092.98,7.0,Bachelor,Employed,North,Standard,0
39.0,,,602.0,2602.95,8.0,High School,Employed,East,Standard,0
18.0,58271.0,838.06,611.0,33197.04,11.0,High School,Employed,North,Standard,1
24.0,32044.0,1170.21,701.0,72798.95,3.0,Bachelor,Self-Employed,North,Basic,0
36.0,66898.0,15.04,612.0,96904.83,3.0,Master,,West,VIP,0
21.0,50040.0,75.61,765.0,13355.82,2.0,Bachelor,Unemployed,South,Standard,0
64.0,,44.29,570.0,35328.09,0.0,Bachelor,Employed,North,VIP,0
18.0,,152.74,609.0,18149.85,2.0,Bachelor,,East,Standard,0
33.0,32254.0,291.6,575.0,76088.72,4.0,High School,Retired,North,VIP,1
41.0,54404.0,513.69,552.0,91958.38,4.0,High School,,West,Standard,1
61.0,27075.0,,586.0,11400.14,5.0,Master,Retired,North,,1
18.0,26573.0,1167.47,609.0,90358.65,3.0,Bachelor,,Central,Standard,0
57.0,175431.0,,616.0,27149.29,3.0,Bachelor,,North,,0
40.0,77017.0,89.28,476.0,22306.35,6.0,Master,Employed,West,Standard,0
25.0,19762.0,958.37,554.0,5663.44,5.0,,Employed,South,Basic,0
46.0,57339.0,328.62,664.0,8046.83,3.0,Master,,North,Standard,0
42.0,39921.0,301.95,593.0,6922.48,2.0,,Employed,South,Basic,0
30.0,,768.42,733.0,44641.22,7.0,Master,,Central,Premium,1
,40533.0,48.88,,65864.39,6.0,Bachelor,Employed,South,Basic,0
34.0,94062.0,1070.63,,18442.07,5.0,High School,,North,Basic,0
41.0,47882.0,555.64,620.0,21763.89,4.0,Master,Self-Employed,North,Basic,0
49.0,34555.0,1040.77,723.0,17289.69,10.0,Bachelor,Employed,North,VIP,0
63.0,83596.0,2599.47,,80655.84,1.0,Bachelor,Employed,East,Basic,1
21.0,43766.0,364.91,658.0,13717.99,4.0,High School,,West,,0
71.0,40021.0,48.95,772.0,7340.51,5.0,Bachelor,,North,VIP,0
18.0,46686.0,91.08,533.0,3671.68,6.0,High School,,South,Premium,1
37.0,,195.5,,4015.04,3.0,High School,Employed,South,Premium,1
48.0,,54.66,681.0,54667.28,5.0,Bachelor,Student,Central,Basic,0
,22711.0,844.62,535.0,9398.52,1.0,PhD,Employed,South,Basic,0
30.0,,176.11,677.0,,5.0,Bachelor,,South,Basic,0
36.0,16336.0,1862.49,677.0,83267.69,6.0,Bachelor,,South,Standard,0
32.0,11925.0,606.32,642.0,96810.79,7.0,High School,Employed,East,Standard,0
31.0,,95.24,741.0,86085.79,5.0,Bachelor,Employed,North,VIP,0
,,323.17,730.0,95960.26,8.0,PhD,Employed,Central,Standard,1
45.0,,314.51,715.0,67045.13,2.0,Bachelor,,West,Basic,0
29.0,29230.0,339.14,762.0,98721.64,4.0,Bachelor,Employed,East,Basic,0
53.0,,383.6,585.0,49634.38,7.0,Master,Retired,Central,Basic,0
44.0,127985.0,,608.0,79468.83,7.0,Bachelor,Unemployed,West,Standard,1
52.0,86611.0,11175.47,597.0,97166.28,5.0,Bachelor,Employed,West,Standard,1
49.0,,333.93,,70929.12,4.0,Master,Retired,Central,Standard,0
27.0,167040.0,782.63,610.0,95672.0,8.0,Master,,Central,Standard,1
31.0,16615.0,844.65,639.0,25364.46,4.0,High School,Retired,North,Basic,0
51.0,164406.0,131.03,619.0,30027.55,5.0,High School,Retired,West,Basic,0
49.0,16778.0,24.82,562.0,39724.01,3.0,Other,,North,Basic,0
39.0,43958.0,607.41,713.0,46458.68,4.0,Other,Student,North,Basic,0
41.0,,8464.63,579.0,89740.47,,Master,,West,Basic,0
59.0,36744.0,295.89,775.0,88786.25,7.0,,Employed,West,Basic,1
31.0,49460.0,,714.0,65796.02,3.0,Bachelor,Employed,Central,Premium,1
48.0,32088.0,85.2,555.0,23230.18,3.0,Master,,,Standard,0
36.0,64286.0,169.45,,24037.73,4.0,High School,,Central,Premium,1
36.0,39309.0,,536.0,63174.33,10.0,PhD,Employed,Central,Premium,0
56.0,23910.0,275.72,751.0,50338.8,4.0,,Employed,West,Premium,0
52.0,23076.0,532.7,650.0,25853.28,3.0,Master,Self-Employed,West,Standard,0
52.0,69475.0,159.53,647.0,16823.72,5.0,Master,Employed,North,Standard,0
59.0,21525.0,26.16,,72262.55,6.0,,,North,Basic,0
40.0,75532.0,233.63,636.0,81323.17,7.0,High School,Employed,,Basic,0
50.0,96584.0,967.69,,26130.49,1.0,,Employed,East,Standard,0
35.0,10000.0,344.93,642.0,42492.25,7.0,Bachelor,Retired,North,Standard,0
44.0,89889.0,1673.12,750.0,71349.42,2.0,Other,Student,South,Standard,1
38.0,188780.0,350.21,605.0,46922.17,6.0,High School,,South,Basic,0
41.0,44427.0,161.41,,96125.71,4.0,Bachelor,Employed,West,Basic,0
48.0,58645.0,107.41,612.0,12959.92,4.0,Master,,South,Basic,0
27.0,83250.0,592.94,664.0,85434.77,6.0,Master,Unemployed,East,Premium,1
71.0,29132.0,384.35,806.0,30607.34,3.0,PhD,Employed,North,Premium,1
24.0,,463.17,695.0,68704.69,6.0,High School,Employed,East,VIP,0
21.0,12690.0,703.51,678.0,25369.5,2.0,High School,,North,Basic,1
57.0,40575.0,647.14,702.0,,8.0,High School,Employed,North,Basic,0
51.0,54094.0,22.17,729.0,5013.43,6.0,Master,,Central,Standard,0
49.0,54881.0,811.19,583.0,51357.13,6.0,,Employed,East,VIP,1
49.0,85164.0,380.4,689.0,91051.33,5.0,High School,,South,Basic,1
39.0,,248.55,670.0,46984.05,3.0,High School,Employed,West,Premium,0
26.0,,385.58,476.0,84034.63,3.0,Bachelor,Retired,Central,VIP,0
41.0,165446.0,473.96,669.0,94982.86,6.0,Bachelor,Employed,North,Premium,1
,32200.0,80.97,570.0,6783.51,8.0,High School,Employed,East,Basic,0
54.0,42617.0,270.14,659.0,48880.73,5.0,High School,Student,,Premium,0
37.0,34419.0,204.43,728.0,68642.26,5.0,,Employed,South,Premium,0
27.0,18819.0,215.71,575.0,83217.75,4.0,Bachelor,,Central,Basic,0
,133095.0,,640.0,16315.56,4.0,Bachelor,Retired,East,Standard,0
,23809.0,87.08,615.0,56678.51,4.0,Bachelor,,West,Premium,0
31.0,14737.0,88.27,741.0,16292.18,3.0,Bachelor,Employed,West,Basic,0
27.0,,233.58,606.0,75539.68,3.0,High School,Retired,South,Standard,1
43.0,10000.0,1124.48,667.0,28463.71,5.0,,Unemployed,South,Standard,1
43.0,21568.0,115.35,700.0,26881.8,5.0,Bachelor,Self-Employed,South,Standard,0
32.0,16739.0,269.09,,76980.18,3.0,Master,Self-Employed,,Basic,1
32.0,,186.7,572.0,84200.75,4.0,Master,Retired,West,Standard,0
43.0,21189.0,774.13,629.0,34333.63,3.0,High School,Employed,West,Basic,0
18.0,73883.0,25.71,778.0,50110.25,6.0,Bachelor,Student,South,Premium,1
18.0,111166.0,109.42,648.0,69346.06,7.0,,,North,VIP,0
29.0,,118.27,,74517.02,5.0,,Employed,North,Premium,0
